"objid","poi_id","kategorie","quartier","strasse","baumgattunglat","baumartlat","baumnamelat","baumnamedeu","baumnummer","status","baumtyp","baumtyptext","pflanzjahr","genauigkeit","kronendurchmesser","geometry"
"90","SW-930","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-930","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","5","POINT (2687207.2 1251074.8)"
"93","SW-929","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-929","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","5","POINT (2687215.8 1251075.4)"
"96","SW-928","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-928","Strassenbaum (A)","0","nicht zugeordnet","1978","Eingemessen","7","POINT (2687224.8 1251071.9)"
"99","SW-926","Strassenbaum","Hirzenbach","Ueberlandstr.","Liriodendron","tulipifera","Liriodendron tulipifera","Tulpenbaum","SW-926","Strassenbaum","1","Höhe:>20m, Breite:>10m","2004","Eingemessen","4","POINT (2687265.2 1251058.9)"
"102","SW-10168","Strassenbaum","Hirzenbach","Sportanlage Heerenschürli /Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-10168","Strassenbaum (A)","0","nicht zugeordnet","2006","Eingemessen","4","POINT (2687214.5 1251059.8)"
"105","SW-684","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-684","Strassenbaum","0","nicht zugeordnet","","Eingemessen","17","POINT (2686291.2 1251437.9)"
"108","SW-683","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-683","Strassenbaum","0","nicht zugeordnet","","Eingemessen","14","POINT (2686282 1251441.2)"
"111","SW-682","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-682","Strassenbaum","0","nicht zugeordnet","1998","Eingemessen","6","POINT (2686272.8 1251444.4)"
"114","SW-681","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-681","Strassenbaum","0","nicht zugeordnet","1998","Eingemessen","5","POINT (2686263.5 1251447.6)"
"117","SW-680","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-680","Strassenbaum","0","nicht zugeordnet","","Eingemessen","17","POINT (2686253.8 1251451.1)"
"120","SW-1244","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 337","Acer","platanoides","Acer platanoides 'Eurostar'","Spitz-Ahorn","SW-1244","Strassenbaum","0","nicht zugeordnet","2006","Eingemessen","4","POINT (2686244.2 1251454)"
"123","SW-678","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-678","Strassenbaum","0","nicht zugeordnet","","Eingemessen","18","POINT (2686235 1251457.9)"
"126","SW-677","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-677","Strassenbaum","0","nicht zugeordnet","1998","Eingemessen","6","POINT (2686225 1251461.4)"
"129","SW-668","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 329","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-668","Strassenbaum","0","nicht zugeordnet","","Eingemessen","16","POINT (2686197.2 1251471.2)"
"132","SW-667","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-667","Strassenbaum","0","nicht zugeordnet","","Eingemessen","6","POINT (2686188 1251474.6)"
"135","SW-666","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 159","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-666","Strassenbaum","0","nicht zugeordnet","","Eingemessen","14","POINT (2686178 1251478.2)"
"138","SW-665","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-665","Strassenbaum","0","nicht zugeordnet","1998","Eingemessen","5","POINT (2686166.2 1251482.4)"
"141","SW-664","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides 'Faassen's Black'","Spitz-Ahorn","SW-664","Strassenbaum","4","Höhe:10-20m, Breite:<10m","1995","Eingemessen","5","POINT (2686157.5 1251485.5)"
"144","SW-9394","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 327","Acer","platanoides","Acer platanoides 'Eurostar'","Spitz-Ahorn","SW-9394","Strassenbaum","0","nicht zugeordnet","2006","Eingemessen","5","POINT (2686130 1251495)"
"147","SW-659","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-659","Strassenbaum","0","nicht zugeordnet","1994","Eingemessen","9","POINT (2686112 1251501.5)"
"150","SW-658","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr. 299","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-658","Strassenbaum","0","nicht zugeordnet","1998","Eingemessen","5","POINT (2686102.8 1251504.6)"
"153","SW-657","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-657","Strassenbaum","0","nicht zugeordnet","1998","Eingemessen","6","POINT (2686094 1251507.8)"
"156","SW-656","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","platanoides","Acer platanoides","Spitz-Ahorn","SW-656","Strassenbaum","0","nicht zugeordnet","1998","Eingemessen","5","POINT (2686084 1251511.5)"
"159","SW-605","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-605","Strassenbaum","0","nicht zugeordnet","","Eingemessen","12","POINT (2686046.5 1251524.6)"
"162","SW-606","Strassenbaum","Schwamendingen-Mitte","Ueberlandstr.","Acer","pseudoplatanus","Acer pseudoplatanus","Berg-Ahorn, Wald-Ahorn","SW-606","Strassenbaum","0","nicht zugeordnet","","Eingemessen","13","POINT (2686037 1251528)"
"165","SW-3509","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Fraxinus","excelsior","Fraxinus excelsior","Gemeine Esche","SW-3509","Grünanlage","0","nicht zugeordnet","1950","Eingemessen","13","POINT (2686250.2 1251083.5)"
"168","SW-3514","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Betula","pendula","Betula pendula","Sand-Birke, Weiss-Birke","SW-3514","Grünanlage","4","Höhe:10-20m, Breite:<10m","1960","Eingemessen","8","POINT (2686260.5 1251060.9)"
"171","SW-3513","Strassenbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Betula","pendula","Betula pendula","Sand-Birke, Weiss-Birke","SW-3513","Strassenbaum (A)","4","Höhe:10-20m, Breite:<10m","1960","Eingemessen","8","POINT (2686267.5 1251064.5)"
"174","SW-3711","Parkbaum","Hirzenbach","Kinderhort Kronwiesenstr. 96/Kronwiesenstr.","Carpinus","betulus","Carpinus betulus","Gemeine Hain- oder Weissbuche","SW-3711","Grünanlage","4","Höhe:10-20m, Breite:<10m","1960","Bildschirmeingabe","12","POINT (2686237.5 1251032.1)"
"177","SW-3518","Strassenbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Betula","pendula","Betula pendula","Sand-Birke, Weiss-Birke","SW-3518","Strassenbaum (A)","4","Höhe:10-20m, Breite:<10m","1960","Eingemessen","12","POINT (2686274 1251047.5)"
"180","SW-3517","Strassenbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Betula","pendula","Betula pendula","Sand-Birke, Weiss-Birke","SW-3517","Strassenbaum (A)","4","Höhe:10-20m, Breite:<10m","1960","Eingemessen","11","POINT (2686272.2 1251044.4)"
"183","SW-3516","Parkbaum","Hirzenbach","Kinderhort Kronwiesenstr. 96/Kronwiesenstr.","Acer","campestre","Acer campestre","Feld-Ahorn, Hecken-Ahorn","SW-3516","Grünanlage","0","nicht zugeordnet","1940","Eingemessen","18","POINT (2686259.2 1251039.2)"
"186","SW-3520","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Prunus","padus","Prunus padus","Trauben-Kirsche, Faulbaum","SW-3520","Grünanlage","0","nicht zugeordnet","2003","Eingemessen","6","POINT (2686268.5 1251030.4)"
"189","SW-3718","Parkbaum","Hirzenbach","Kinderhort Kronwiesenstr. 96/Kronwiesenstr.","Carpinus","betulus","Carpinus betulus","Gemeine Hain- oder Weissbuche","SW-3718","Grünanlage","4","Höhe:10-20m, Breite:<10m","2000","Bildschirmeingabe","6","POINT (2686263.2 1251013.6)"
"192","SW-3524","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Pinus","nigra","Pinus nigra","Schwarz-Kiefer","SW-3524","Grünanlage","0","nicht zugeordnet","1950","Eingemessen","14","POINT (2686276.2 1251011.2)"
"195","SW-3525","Strassenbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Acer","truncatum","Acer truncatum","Chinesischer Ahorn","SW-3525","Strassenbaum (A)","0","nicht zugeordnet","2003","Eingemessen","10","POINT (2686291.2 1251008.2)"
"198","SW-3531","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Pinus","nigra","Pinus nigra","Schwarz-Kiefer","SW-3531","Grünanlage","0","nicht zugeordnet","1950","Eingemessen","12","POINT (2686288.2 1250981.5)"
"201","SW-3530","Strassenbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Pinus","nigra","Pinus nigra","Schwarz-Kiefer","SW-3530","Strassenbaum (A)","0","nicht zugeordnet","1950","Eingemessen","9","POINT (2686297.2 1250980.9)"
"204","SW-3533","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Liquidambar","styraciflua","Liquidambar styraciflua","Amberbaum","SW-3533","Grünanlage","3","Höhe:10-20m, Breite:<10m","1950","Eingemessen","16","POINT (2686288.8 1250967.9)"
"207","SW-3534","Parkbaum","Hirzenbach","Grünzug Glattwiesen /Glattwiesenstr.","Liquidambar","styraciflua","Liquidambar styraciflua","Amberbaum","SW-3534","Grünanlage","3","Höhe:10-20m, Breite:<10m","1950","Eingemessen","14","POINT (2686292 1250962.6)"
